name,shelf_life
milk,7
butter,14
cottage cheese,7
cream,14
margarine,30
natural cheese,30
processed cheese,30
sour cream,14
buttermilk,14
cream cheese,14
yogurt,30
livers,3
hearts,3
kidneys,3
fresh ground meat,1
lunch meat,7
canned meat,365
meat pie,2
stew,2
casserole,2
meat salad,2
hotdog,7
bacon,7
sausage,1
jerky sticks,14
hard sausage-pepperoni,14
fresh poultry,2
cooked poultry,2
poultry stuffing,1
poultry salads,1
eggs,14
egg whites,2
hardcooked eggs,7
egg substitutes,3
puddings,1
fresh fish,1
cooked fish,3
fish salad,1
smoked fish,10
dried or pickled fish,21
clams,7
oyster,7
scallops,7
crab,7
shrimp,3
lobster,3
venison,3
squirrel,1
rabbit ,1
wild duck,1
pheasant,1
goose,1
apples,30
citrus fruits,14
grapes,7
melons,14
nectarines,
peaches,14
pears,14
pineapple,14
canned fruit,365
dried fruit,182
asparagus,2
broccoli,4
brussels sprouts,4
green peas,4
lima beans,4
green onions,4
rhubarb,4
greens,4
summer squash,4
mushrooms,4
cabbage,7
cauliflower,7
celery,7
cucumbers,7
snap beans,7
lettuce,7
peppers,7
tomatoes,7
carrots,14
beets,14
parsnips,14
radishes,14
turnips,14
corn,1
white potatoes,7
sweet potatoes,7
winter squash,7
rutabagas,7
dry onions,7
white flour,365
whole wheat flour,365
rice,730
cereal,365
pasta,365
corn meal,365
bread,2
