name,shelf_life
milk,7.00
butter,14.00
cottage cheese,7.00
cream,14.00
margarine,30.00
natural cheese,30.00
processed cheese,30.00
sour cream,14.00
buttermilk,14.00
cream cheese,14.00
yogurt,30.00
livers,3.00
hearts,3.00
kidneys,3.00
fresh ground meat,1.00
lunch meat,7.00
canned meat,365.00
meat pie,2.00
stew,2.00
casserole,2.00
meat salad,2.00
hotdog,7.00
bacon,7.00
sausage,1.00
jerky sticks,14.00
hard sausage-pepperoni,14.00
fresh poultry,2.00
cooked poultry,2.00
poultry stuffing,1.00
poultry salads,1.00
eggs,14.00
egg whites,2.00
hardcooked eggs,7.00
egg substitutes,3.00
puddings,1.00
fresh fish,1.00
cooked fish,3.00
fish salad,1.00
smoked fish,10.00
dried or pickled fish,21.00
clams,7.00
oyster,7.00
scallops,7.00
crab,7.00
shrimp,3.00
lobster,3.00
venison,3.00
squirrel,1.00
rabbit ,1.00
wild duck,1.00
pheasant,1.00
goose,1.00
apples,30.00
citrus fruits,14.00
grapes,7.00
melons,14.00
nectarines,
peaches,14.00
pears,14.00
pineapple,14.00
canned fruit,365.00
dried fruit,182.00
asparagus,2.00
broccoli,4.00
brussels sprouts,4.00
green peas,4.00
lima beans,4.00
green onions,4.00
rhubarb,4.00
greens,4.00
summer squash,4.00
mushrooms,4.00
cabbage,7.00
cauliflower,7.00
celery,7.00
cucumbers,7.00
snap beans,7.00
lettuce,7.00
peppers,7.00
tomatoes,7.00
carrots,14.00
beets,14.00
parsnips,14.00
radishes,14.00
turnips,14.00
corn,1.00
white potatoes,7.00
sweet potatoes,7.00
winter squash,7.00
rutabagas,7.00
dry onions,7.00
white flour,365.00
whole wheat flour,365.00
rice,730.00
cereal,365.00
pasta,365.00
corn meal,365.00
bread,2.00
